Mianownik;Wołacz;Płeć
Aada;Aado;Kobieta
Aadhya;Aadhyo;Kobieta
Aadya;Aadyo;Kobieta
Aafia;Aafio;Kobieta
Aahana;Aahano;Kobieta
Aaira;Aairo;Kobieta
Aaisha;Aaisho;Kobieta
Aakanksha;Aakanksho;Kobieta
Aakriti;Aakrito;Mężczyzna
Aaleyah;Aaleyao;Mężczyzna
Aalia;Aalio;Kobieta
Aaliah;Aaliao;Mężczyzna
Aaliya;Aaliyo;Kobieta
Aaliyah;Aaliyao;Mężczyzna
Aaltje;Aaltjo;Mężczyzna
Aamina;Aamino;Kobieta
Aan;Aao;Mężczyzna
Aanchal;Aanchao;Mężczyzna
Aania;Aanio;Kobieta
Aanya;Aanyo;Kobieta
Aaradhya;Aaradhyo;Kobieta
Aarika;Aariko;Kobieta
Aarna;Aarno;Kobieta
Aarohi;Aaroho;Mężczyzna
Aarthi;Aartho;Mężczyzna
Aarthy;Aartho;Mężczyzna
Aarti;Aarto;Mężczyzna
Aarushi;Aarusho;Mężczyzna
Aarvi;Aarvo;Mężczyzna
Aarya;Aaryo;Kobieta
Aashvi;Aashvo;Mężczyzna
Aasiyah;Aasiyao;Mężczyzna
Aastha;Aastho;Kobieta
Aavya;Aavyo;Kobieta
Aaya;Aayo;Kobieta
Aayesha;Aayesho;Kobieta
Aayushi;Aayusho;Mężczyzna
Aba;Abo;Kobieta
Abbe;Abbo;Mężczyzna
Abbey;Abbeo;Mężczyzna
Abbie;Abbio;Mężczyzna
Abbigail;Abbigaio;Mężczyzna
Abby;Abbo;Mężczyzna
Abbygail;Abbygaio;Mężczyzna
Abdona;Abdono;Kobieta
Abe;Abo;Mężczyzna
Abeeha;Abeeho;Kobieta
Abeer;Abeeo;Mężczyzna
Abeera;Abeero;Kobieta
Abegael;Abegaeo;Mężczyzna
Abegail;Abegaio;Mężczyzna
Abella;Abello;Kobieta
Abena;Abeno;Kobieta
Abhaya;Abhayo;Kobieta
Abhipsa;Abhipso;Kobieta
Abi;Abo;Mężczyzna
Abiba;Abibo;Kobieta
Abibe;Abibo;Mężczyzna
Abida;Abido;Kobieta
Abier;Abieo;Mężczyzna
Abigael;Abigaeo;Mężczyzna
Abigaël;Abigaëo;Mężczyzna
Abigail;Abigaio;Mężczyzna
Abigaila;Abigailo;Kobieta
Abigajl;Abigajo;Mężczyzna
Abigal;Abigao;Mężczyzna
Abigayle;Abigaylo;Mężczyzna
Abigeil;Abigeio;Mężczyzna
Abigel;Abigeo;Mężczyzna
Abihel;Abiheo;Mężczyzna
Abike;Abiko;Mężczyzna
Abimbola;Abimbolo;Kobieta
Abiola;Abiolo;Kobieta
Abir;Abio;Mężczyzna
Abirami;Abiramo;Mężczyzna
Abisola;Abisolo;Kobieta
Abrar;Abrao;Mężczyzna
Abril;Abrio;Mężczyzna
Aby;Abo;Mężczyzna
Acela;Acelo;Kobieta
Acelya;Acelyo;Kobieta
Açelya;Açelyo;Kobieta
Achafia;Achafio;Kobieta
Achinoam;Achinoao;Mężczyzna
Achira;Achiro;Kobieta
Aculina;Aculino;Kobieta
Ada;Ado;Kobieta
Adaeze;Adaezo;Mężczyzna
Adalberta;Adalberto;Kobieta
Adalet;Adaleo;Mężczyzna
Adalia;Adalio;Kobieta
Adalin;Adalio;Mężczyzna
Adalina;Adalino;Kobieta
Adaline;Adalino;Mężczyzna
Adalmina;Adalmino;Kobieta
Adalwina;Adalwino;Kobieta
Adam;Adamie;Mężczyzna
Adamantia;Adamantio;Kobieta
Adamia;Adamio;Kobieta
Adamina;Adamino;Kobieta
Adamira;Adamiro;Kobieta
Adamma;Adammo;Kobieta
Adania;Adanio;Kobieta
Adanina;Adanino;Kobieta
Adanna;Adanno;Kobieta
Adaobi;Adaobo;Mężczyzna
Adar;Adao;Mężczyzna
Adaria;Adario;Kobieta
Adaya;Adayo;Kobieta
Adda;Addo;Kobieta
Addison;Addisoo;Mężczyzna
Ade;Ado;Mężczyzna
Adedolapo;Adedolapo;Mężczyzna
Adedoyin;Adedoyio;Mężczyzna
Adee;Adeo;Mężczyzna
Adejumoke;Adejumoko;Mężczyzna
Adel;Adeo;Mężczyzna
Adél;Adéo;Mężczyzna
Adela;Adelo;Kobieta
Adéla;Adélo;Kobieta
Adelaida;Adelaido;Kobieta
Adelaide;Adelaido;Mężczyzna
Adelaïde;Adelaïdo;Mężczyzna
Adélaïde;Adélaïdo;Mężczyzna
Adelaja;Adelajo;Kobieta
Adelajda;Adelajdo;Kobieta
Adelayida;Adelayido;Kobieta
Adele;Adelo;Mężczyzna
Adèle;Adèlo;Mężczyzna
Adeleida;Adeleido;Kobieta
Adelfina;Adelfino;Kobieta
Adelgard;Adelgaro;Mężczyzna
Adelgarda;Adelgardo;Kobieta
Adelgund;Adelguno;Mężczyzna
Adelgunda;Adelgundo;Kobieta
Adelgunde;Adelgundo;Mężczyzna
Adelhaida;Adelhaido;Kobieta
Adelhajd;Adelhajo;Mężczyzna
Adelhajda;Adelhajdo;Kobieta
Adelheid;Adelheio;Mężczyzna
Adelheida;Adelheido;Kobieta
Adelheit;Adelheio;Mężczyzna
Adelia;Adelio;Kobieta
Adélia;Adélio;Kobieta
Adeliada;Adeliado;Kobieta
Adeliia;Adeliio;Kobieta
Adelin;Adelio;Mężczyzna
Adelina;Adelino;Kobieta
Adełina;Adełino;Kobieta
Adelinda;Adelindo;Kobieta
Adeline;Adelino;Mężczyzna
Adeliya;Adeliyo;Kobieta
Adelja;Adeljo;Kobieta
Adeljda;Adeljdo;Kobieta
Adella;Adello;Kobieta
Adelle;Adello;Mężczyzna
Adellina;Adellino;Kobieta
Adelma;Adelmo;Kobieta
Adeltraud;Adeltrauo;Mężczyzna
Adeltrauda;Adeltraudo;Kobieta
Adeltraut;Adeltrauo;Mężczyzna
